PLANE, COUNT, MANUFACTURER
Bombardier CL-600,189, Bombardier
Boeing 757,124, Boeing
Boeing 737,120, Boeing
Douglas DC-9,95, Douglas
Boeing 767,46, Boeing
Embraer EMB-145,38, Embraer
Embraer EMB-120,32, Embraer
Boeing 717,21, Boeing
Douglas DHC-8,15, Douglas
Boeing 747,14, Boeing
Airbus A320-232,11, Airbus
Airbus A319-111,10, Airbus
