Airline,IATA,ICAO,Callsign,Founded,Airline
Everts Air Cargo,3Z,VTS,EVERTS,1978,Cargo
FedEx Express,FX,FDX,FEDEX,1971,Cargo
Florida West International Airways,RF,FWL,FLORIDA WEST,1981,Cargo
Freight Runners Express,,FRG,FREIGHT,1985,Cargo
Kalitta Air,K4,CKS,CONNIE,1967,Cargo
Key Lime Air,,,,,Cargo
Logistic Air,,,,,Cargo
Lynden Air Cargo,,,,,Cargo
Martinaire,,,,,Cargo
Mountain Air Cargo,C2,MTN,MOUNTAIN,,Cargo
National Airlines,N8,NCR,NATIONAL CARGO,,Cargo
Northern Air Cargo,NC,NAC,YUKON,1956,Cargo
Polar Air Cargo,PO,PAC,POLAR,1993,Cargo
Presidential Airways,,,,,Cargo
Ryan Air Services,7S,RYA,RYAN AIR,,Cargo
Sky Lease Cargo,GG,KYE,TRADEWINDS EXPRESS,1969,Cargo
Skyway Enterprises,KI,SKZ,SKYWAY-INC,1981,Cargo
Southern Air,9S,SOO,SOUTHERN AIR,1999,Cargo
Tepper Aviation,,,,1987,Cargo
Transair,KH,MUI,MAUI,1982,Cargo
UPS Airlines,5X,UPS,UPS,1988,Cargo
USA Jet Airlines,UJ,JUS,JET USA,1994,Cargo
